Latitude,Longitude,Elevation
43.56528,4.71667,1.0
43.57027,4.71167,2.0
43.575,4.705,2.0
43.57777,4.69667,2.0
43.44167,4.72722,-1.0
43.42833,4.73278,1.0
43.42222,4.73611,2.0
43.4175,4.74167,2.0
43.40044,4.73189,1.0
43.39578,4.74156,-1.0
43.39394,4.74722,0.0
43.38611,4.76472,-2.0
43.38344,4.76872,-1.0
43.38011,4.77106,-1.0
43.37594,4.77256,0.0
43.37361,4.77272,-1.0
43.37144,4.77189,-1.0
43.36894,4.76739,-1.0
43.36911,4.75089,-1.0
43.35972,4.65278,0.0
43.36111,4.61917,0.0
43.36194,4.60694,-2.0
43.36305,4.60139,-2.0
43.37,4.58389,0.0
43.38,4.57333,-2.0
43.38777,4.5725,1.0
43.39111,4.57444,-1.0
43.40749,4.59139,0.0
43.4175,4.59806,-1.0
43.425,4.60167,-1.0
43.4286,4.60111,-1.0
43.43417,4.59722,-1.0
43.43916,4.59111,-1.0
43.44333,4.58389,1.0
43.45,4.56556,-1.0
43.45833,4.53556,0.0
43.46278,4.50611,-1.0
43.46194,4.47389,2.0
43.46055,4.45333,1.0
43.45889,4.43917,0.0
43.45389,4.42194,-1.0
43.45722,4.32583,-1.0
43.45833,4.32111,1.0
43.46111,4.31806,0.0
43.46472,4.31611,2.0
43.47166,4.3175,4.0
43.49249,4.32111,2.0
43.49972,4.31917,4.0
43.50388,4.31778,1.0
43.51222,4.30944,-1.0
43.50555,4.28611,-1.0
43.49389,4.25139,-1.0
43.49194,4.24722,-1.0
43.48595,4.24143,-1.0
43.45916,4.29194,0.0
43.45694,4.28778,1.0
43.46027,4.205,0.0
43.46194,4.19056,0.0
43.47111,4.16222,0.0
43.49166,4.13111,3.0
43.49833,4.12472,0.0
43.50527,4.12444,0.0
43.50833,4.12667,1.0
43.50805,4.13639,2.0
43.51138,4.13833,4.0
43.51888,4.13889,0.0
43.52611,4.13806,1.0
43.53666,4.13306,0.0
43.54305,4.12778,0.0
43.55138,4.11722,4.0
43.55499,4.10805,2.0
43.55805,4.09639,5.0
43.56333,4.06222,3.0
43.56222,4.05028,2.0
43.54083,3.96472,5.0
43.52389,3.91861,-1.0
43.51861,3.90778,2.0
43.47556,3.84361,0.0
43.41166,3.7225,2.0
43.31972,3.54667,2.0
43.28694,3.43056,0.0
43.28861,3.41528,0.0
43.28666,3.40528,0.0
43.26527,3.335,3.0
43.25527,3.31306,0.0
43.22749,3.25806,1.0
43.13889,3.14111,3.0
43.06944,3.08139,1.0
43.04138,3.07778,0.0
42.95416,3.04528,0.0
42.8811,3.00361,0.0
42.84833,2.96389,0.0
42.84499,2.96139,0.0
42.83778,2.96,0.0
42.81222,2.97278,0.0
42.80666,2.97917,0.0
42.79805,3.01222,0.0
42.72833,3.03805,3.0
42.61694,3.04083,0.0
42.55389,3.04944,0.0
42.54666,3.05389,0.0
42.53972,3.06028,0.0
42.53639,3.06889,0.0
42.52889,3.09139,0.0
42.52694,3.11028,0.0
42.52472,3.11972,0.0
42.51917,3.13972,0.0
42.51639,3.14306,0.0
42.44555,3.17444,0.0
42.43681,3.17766,0.0
42.43333,3.15833,144.0
42.42916,3.10611,585.0
42.42999,3.09222,433.0
42.43944,3.07583,510.0
42.45972,3.04944,577.0
42.46972,3.04778,731.0
42.47472,3.04528,819.0
42.48055,2.95,1110.0
42.41944,2.72472,1201.0
42.40167,2.67833,890.0
42.38444,2.65722,993.0
42.37944,2.65694,1000.0
42.35722,2.67444,534.0
42.34194,2.66639,503.0
42.3325,2.54194,1321.0
42.33333,2.52583,1485.0
42.34305,2.48472,1098.0
42.35333,2.46972,1353.0
42.37639,2.44278,1437.0
42.38055,2.43889,1549.0
42.41805,2.33222,2308.0
42.43429,2.28053,2404.0
42.43722,2.26917,2381.0
42.43666,2.2625,2602.0
42.42139,2.15139,2659.0
42.41722,2.13778,2673.0
42.40805,2.12917,2429.0
42.39833,2.12417,2733.0
42.39333,2.12306,2556.0
42.38333,2.11694,2867.0
42.36417,2.09361,2410.0
42.35694,2.06222,2395.0
42.35222,2.02389,2156.0
42.35305,2.01722,2046.0
42.35722,2.00472,2032.0
42.37472,1.97667,1834.0
42.38416,1.96889,1664.0
42.41083,1.95917,1167.0
42.44694,1.90639,1194.0
42.46999,1.85139,1674.0
42.48833,1.78,2683.0
42.50944,1.72361,2505.0
42.51527,1.72333,2699.0
42.52499,1.72444,2592.0
42.53,1.72528,2419.0
42.55444,1.73528,2139.0
42.56361,1.74306,2011.0
42.57,1.75389,1998.0
42.57111,1.76806,2024.0
42.57111,1.77472,1833.0
42.56996,1.78172,1648.0
42.61639,1.73861,2446.0
42.62611,1.69833,2310.0
42.65555,1.56306,2300.0
42.65639,1.55639,2204.0
42.65361,1.49194,2851.0
42.64722,1.48111,2586.0
42.60194,1.44583,2683.0
42.65083,1.41722,2602.0
42.68833,1.39028,2452.0
42.71527,1.35917,2519.0
42.71999,1.32833,2293.0
42.715,1.32167,2203.0
42.70972,1.17389,2732.0
42.72361,1.15083,2198.0
42.72778,1.14472,2184.0
42.73194,1.14083,1970.0
42.73694,1.13778,2039.0
42.74166,1.14083,1816.0
42.75305,1.14,2214.0
42.76083,1.13222,2129.0
42.76861,1.12111,2218.0
42.78444,1.09167,2070.0
42.78527,1.085,2415.0
42.81305,0.89694,2344.0
42.83305,0.82361,2094.0
42.85916,0.72,1326.0
42.8586,0.71222,1588.0
42.85361,0.69278,1732.0
42.83917,0.66778,1853.0
42.785,0.65194,1811.0
42.75417,0.65556,1812.0
42.74806,0.66806,1970.0
42.72944,0.68139,1784.0
42.71305,0.68389,1996.0
42.70805,0.68306,2121.0
42.69333,0.68,2191.0
42.68848,0.67551,2262.0
42.69194,0.66167,2342.0
42.695,0.59556,2438.0
42.69583,0.56,2667.0
42.69138,0.50167,2815.0
42.68666,0.43278,2602.0
42.7025,0.2725,2422.0
42.70777,0.26972,2357.0
42.7175,0.26194,2687.0
42.73472,0.18639,2483.0
42.73528,0.17861,2397.0
42.73333,0.17222,2369.0
42.70944,0.11194,2803.0
